example,entity,intent,norm
FEATURE-STATE,카카오 어플 처리 시간,KAKAOBANK-SPEED,카카오뱅크 속도
FEATURE-STATE,카카오 앱 처리 속도,KAKAOBANK-SPEED,카카오뱅크 속도
FEATURE-STATE,카카오 속도,KAKAOBANK-SPEED,카카오뱅크 속도
FEATURE-STATE,카카오 접속 속도,KAKAOBANK-SPEED,카카오뱅크 속도
FEATURE-STATE,카뱅 앱 결제 처리 속도,KAKAOBANK-SPEED,카카오뱅크 속도
FEATURE-STATE,카카오 어플 용량,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카카오 앱 크기,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카카오 용량,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카카오 프로그램 용량,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카카오 뱅크 어플 크기,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카뱅 앱 용량,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카뱅 앱 크기,KAKAOBANK-VOLUME,카카오뱅크 용량
FEATURE-STATE,카카오 은행 세율,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카카오 세금,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카카오 세액,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,kakao 세액,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카카오은행 세금,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카뱅 세금,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카뱅세율,KAKAOBANK-TAX,카카오뱅크 세금
FEATURE-STATE,카카오 은행 결제 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 은행 사용 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 이체 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 출금 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 처리 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 뱅크 이용 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,kakao 인출 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카뱅 대출 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카뱅 페이 한도,KAKAOBANK-LIMIT,카카오뱅크 한도
FEATURE-STATE,카카오 은행 이율,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카카오 이자율,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,kakao 은행 이자,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카카오은행 이자율,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카카오은행 수익,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카뱅 이자,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,Kakao은행 금리,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카뱅금리,KAKAOBANK-INTEREST,카카오뱅크 이자
FEATURE-STATE,카카오 은행 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,카카오 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,kakao 은행 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,카카오은행 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,카뱅 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,카뱅비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,Kakao은행 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
FEATURE-STATE,토스 어플 처리 시간,TOSS-SPEED,토스 속도
FEATURE-STATE,토스 앱 처리 속도,TOSS-SPEED,토스 속도
FEATURE-STATE,토스 속도,TOSS-SPEED,토스 속도
FEATURE-STATE,토스 접속 속도,TOSS-SPEED,토스 속도
FEATURE-STATE,토뱅 앱 결제 처리 속도,TOSS-SPEED,토스 속도
FEATURE-STATE,토스 어플 용량,TOSS-VOLUME,토스 용량
FEATURE-STATE,토스 앱 크기,TOSS-VOLUME,토스 용량
FEATURE-STATE,토스 용량,TOSS-VOLUME,토스 용량
FEATURE-STATE,토스 프로그램 용량,TOSS-VOLUME,토스 용량
FEATURE-STATE,토스 뱅크 어플 크기,TOSS-VOLUME,토스 용량
FEATURE-STATE,토뱅 앱 용량,TOSS-VOLUME,토스 용량
FEATURE-STATE,토뱅 앱 크기,TOSS-VOLUME,토스 용량
FEATURE-STATE,토스 은행 세율,TOSS-TAX,토스 세금
FEATURE-STATE,토스 세금,TOSS-TAX,토스 세금
FEATURE-STATE,토스 세액,TOSS-TAX,토스 세금
FEATURE-STATE,toss 세액,TOSS-TAX,토스 세금
FEATURE-STATE,토스은행 세금,TOSS-TAX,토스 세금
FEATURE-STATE,토뱅 세금,TOSS-TAX,토스 세금
FEATURE-STATE,토뱅세율,TOSS-TAX,토스 세금
FEATURE-STATE,토스 은행 결제 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 은행 사용 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 이체 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 출금 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 처리 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 뱅크 이용 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,toss 인출 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토뱅 대출 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토뱅 페이 한도,TOSS-LIMIT,토스 한도
FEATURE-STATE,토스 은행 이율,TOSS-INTEREST,토스 이자
FEATURE-STATE,토스 이자율,TOSS-INTEREST,토스 이자
FEATURE-STATE,toss 은행 이자,TOSS-INTEREST,토스 이자
FEATURE-STATE,토스은행 이자율,TOSS-INTEREST,토스 이자
FEATURE-STATE,토스은행 수익,TOSS-INTEREST,토스 이자
FEATURE-STATE,토뱅 이자,TOSS-INTEREST,토스 이자
FEATURE-STATE,Toss은행 금리,TOSS-INTEREST,토스 이자
FEATURE-STATE,토뱅금리,TOSS-INTEREST,토스 이자
FEATURE-STATE,토스 은행 비용,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,토스 수수료,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,toss 은행 수수료,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,토스은행 수수료,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,토뱅 비용,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,토뱅수수료,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,Toss은행 비용,TOSS-COMMISSION,토스 수수료
FEATURE-STATE,결제 처리 속도,SPEED,속도
FEATURE-STATE,처리 시간,SPEED,속도
FEATURE-STATE,처리 속도,SPEED,속도
FEATURE-STATE,속도,SPEED,속도
FEATURE-STATE,접속 속도,SPEED,속도
FEATURE-STATE,어플 용량,VOLUME,용량
FEATURE-STATE,어플 크기,VOLUME,용량
FEATURE-STATE,앱 용량,VOLUME,용량
FEATURE-STATE,용량,VOLUME,용량
FEATURE-STATE,크기,VOLUME,용량
FEATURE-STATE,프로그램 용량,VOLUME,용량
FEATURE-STATE,세금,TAX,세금
FEATURE-STATE,세액,TAX,세금
FEATURE-STATE,대출 한도,LIMIT,한도
FEATURE-STATE,결제 한도,LIMIT,한도
FEATURE-STATE,사용 한도,LIMIT,한도
FEATURE-STATE,페이 한도,LIMIT,한도
FEATURE-STATE,한도,LIMIT,한도
FEATURE-STATE,이체 한도,LIMIT,한도
FEATURE-STATE,이용 한도,LIMIT,한도
FEATURE-STATE,출금 한도,LIMIT,한도
FEATURE-STATE,인출 한도,LIMIT,한도
FEATURE-STATE,처리 한도,LIMIT,한도
FEATURE-STATE,은행 이자,INTEREST,이자
FEATURE-STATE,은행 이자율,INTEREST,이자
FEATURE-STATE,은행 이율,INTEREST,이자
FEATURE-STATE,은행 금리,INTEREST,이자
FEATURE-STATE,이자,INTEREST,이자
FEATURE-STATE,이자율,INTEREST,이자
FEATURE-STATE,이율,INTEREST,이자
FEATURE-STATE,금리,INTEREST,이자
FEATURE-STATE,수익,INTEREST,이자
FEATURE-STATE,수수료,COMMISSION,수수료
FEATURE-STATE,비용,COMMISSION,수수료
QTY-GEN,카카오 은행 이율,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카카오 이자율,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,kakao 은행 이자,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카카오은행 이자율,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카카오은행 수익,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카뱅 이자,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,Kakao은행 금리,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카뱅금리,KAKAOBANK-INTEREST,카카오뱅크 이자
QTY-GEN,카카오 은행 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,카카오 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,kakao 은행 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,카카오은행 수수료,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,카뱅 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,카뱅비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,Kakao은행 비용,KAKAOBANK-COMMISSION,카카오뱅크 수수료
QTY-GEN,토스 은행 이율,TOSS-INTEREST,토스 이자
QTY-GEN,토스 이자율,TOSS-INTEREST,토스 이자
QTY-GEN,toss 은행 이자,TOSS-INTEREST,토스 이자
QTY-GEN,토스은행 이자율,TOSS-INTEREST,토스 이자
QTY-GEN,토스은행 수익,TOSS-INTEREST,토스 이자
QTY-GEN,토뱅 이자,TOSS-INTEREST,토스 이자
QTY-GEN,Toss은행 금리,TOSS-INTEREST,토스 이자
QTY-GEN,토뱅금리,TOSS-INTEREST,토스 이자
QTY-GEN,토뱅 비용,TOSS-COMMISSION,토스 수수료
QTY-GEN,토스 수수료,TOSS-COMMISSION,토스 수수료
QTY-GEN,토스 은행 비용,TOSS-COMMISSION,토스 수수료
QTY-GEN,토뱅수수료,TOSS-COMMISSION,토스 수수료
QTY-GEN,토스은행 수수료,TOSS-COMMISSION,토스 수수료
QTY-GEN,toss 은행 수수료,TOSS-COMMISSION,토스 수수료
QTY-GEN,Toss은행 비용,TOSS-COMMISSION,토스 수수료
QTY-GEN,은행 이자,INTEREST,이자
QTY-GEN,은행 이자율,INTEREST,이자
QTY-GEN,은행 이율,INTEREST,이자
QTY-GEN,은행 금리,INTEREST,이자
QTY-GEN,이자,INTEREST,이자
QTY-GEN,이자율,INTEREST,이자
QTY-GEN,이율,INTEREST,이자
